urn:cts:greekLit:tlg5026.msA.hmt:1.1	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.2	urn:cite:hmt:pers.pers3
urn:cts:greekLit:tlg5026.msA.hmt:1.3	urn:cite:hmt:pers.pers4
urn:cts:greekLit:tlg5026.msA.hmt:1.3	urn:cite:hmt:pers.pers5
urn:cts:greekLit:tlg5026.msA.hmt:1.3	urn:cite:hmt:pers.pers7
urn:cts:greekLit:tlg5026.msA.hmt:1.3	urn:cite:hmt:pers.pers6
urn:cts:greekLit:tlg5026.msA.hmt:1.4	urn:cite:hmt:pers.pers6
urn:cts:greekLit:tlg5026.msA.hmt:1.6	urn:cite:hmt:pers.pers6
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers9
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers205
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers10
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers11
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers12
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers13
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers12
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers13
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers14
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.7	urn:cite:hmt:pers.pers14
urn:cts:greekLit:tlg5026.msA.hmt:1.8	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.8	urn:cite:hmt:pers.pers4
urn:cts:greekLit:tlg5026.msA.hmt:1.9	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.10	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers18
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers8
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers18
urn:cts:greekLit:tlg5026.msA.hmt:1.11	urn:cite:hmt:pers.pers19
